"Cohort","Disorder","Number_of_Patients","Mean_Age","N_Male","N_Female"
"CMC","Control",53,71,32,21
"CMC","Schizophrenia",47,71,33,14
"DevBrain","ASD",9,24,8,1
"DevBrain","Control",4,36,4,0
"DevBrain","Williams Syndrome",3,31,2,1
"Girgenti-snMultiome","Control",19,49,15,4
"IsoHuB","Control",4,22,2,2
"LIBD","Control",10,50,6,4
"Ma_et_al","Control",2,57,1,1
"MultiomeBrain","Bipolar Disorder",10,40,6,4
"MultiomeBrain","Control",5,39,4,1
"MultiomeBrain","Schizophrenia",6,46,3,3
"PTSDBrainomics","Control",9,49,7,2
"PTSDBrainomics","MDD",4,52,3,1
"PTSDBrainomics","PTSD",6,41,5,1
"SZBDMulti-Seq","Bipolar Disorder",24,70,12,12
"SZBDMulti-Seq","Control",24,62,12,12
"SZBDMulti-Seq","Schizophrenia",24,64,12,12
"UCLA-ASD","ASD",27,23,22,5
"UCLA-ASD","Control",25,24,21,4
"Velmeshev_et_al","ASD",13,15,10,3
"Velmeshev_et_al","Control",14,20,9,5
